"","GEOID_1","INT.x","DU","Total_HU","Total","pctle5","pct5_11","pct12_17","pct50_64","pct65over","pctAfAm","pctHis","pctOther","pctFPL100","pctFPL125","pctFPL150","pct_u1950","pct_o1950","pct_u10","pct_10t19","pct_20t49","pct_o50","pct_injury_q1","pct_injury_q2","pct_injury_q3","pct_injury_q4","pct_injury_q5","pct_injury_q6","pct_injury_q7","pct_injury_q8","pct_injury_q9","pct_injury_q10","pct_injury_q11","INT","distance","weights","subclass"
"8",360050016001,0,0,1134,3427,6.85730960023344,9.36679311351036,10.6507149110009,22.0601108841552,6.12780857893201,40.0641960898745,58.681062153487,0.525240735337029,25.1531952,18.3250657,11.2634958,5.20282186948854,94.7971781305115,6.61375661375661,0.529100529100529,17.9012345679012,74.9559082892416,27.1444082519001,60.8034744842562,71.6612377850163,108.5776330076,103.14875135722,175.895765472313,182.410423452769,199.782844733985,214.983713355049,119.43539630836,274.701411509229,0,0.521786603871606,2.01694915254237,"109"
"10",360050016003,0,0,268,466,7.08154506437768,5.36480686695279,5.15021459227468,22.3175965665236,33.2618025751073,36.6952789699571,54.2918454935622,0,28.6652079,6.345733,7.6586433,3.73134328358209,96.2686567164179,3.73134328358209,0,0,96.2686567164179,158.536585365854,219.512195121951,402.439024390244,536.585365853659,426.829268292683,439.024390243902,597.560975609756,975.609756097561,548.780487804878,609.756097560976,804.878048780488,0,0.527180722997141,2.01694915254237,"57"
"17",360050020003,1,898,948,3073,11.1617312072893,5.10901399284087,15.0341685649203,15.9127888057273,5.56459485844452,31.8906605922551,62.8050764725024,3.74227139602994,76.8878719,8.6629618,4.1189931,28.5864978902954,71.4135021097046,12.6582278481013,4.85232067510549,28.4810126582279,54.0084388185654,43.6590436590437,62.3700623700624,115.384615384615,137.214137214137,140.33264033264,205.821205821206,225.571725571726,199.5841995842,252.598752598753,197.505197505198,388.773388773389,1,0.84840163278027,1,"19"
"18",360050020004,1,490,474,1308,8.1039755351682,0,29.6636085626911,6.65137614678899,14.1437308868502,52.5993883792049,43.7308868501529,2.14067278287462,46.6360856,0.8409786,16.7431193,32.9113924050633,67.0886075949367,0,3.37552742616034,66.6666666666667,29.957805907173,36.4372469635627,80.9716599190283,115.384615384615,145.748987854251,151.821862348178,72.8744939271255,240.890688259109,307.692307692308,309.716599190283,202.429149797571,200.404858299595,1,0.715497314108729,1,"22"
"19",360050020005,1,234,218,482,7.05394190871369,5.39419087136929,10.7883817427386,13.0705394190871,20.5394190871369,13.6929460580913,86.3070539419087,0,27.1784232,11.2033195,0,0,100,21.5596330275229,0,28.4403669724771,50,80.3571428571429,142.857142857143,214.285714285714,178.571428571429,580.357142857143,642.857142857143,312.5,714.285714285714,321.428571428571,535.714285714286,1571.42857142857,1,0.176705478023549,1,"26"
"24",360050025002,1,563,446,1038,3.94990366088632,4.72061657032755,12.1387283236994,22.7360308285164,8.47784200385356,36.9942196531792,62.1387283236994,0,45.9537572,1.6377649,6.1657033,35.2017937219731,64.7982062780269,7.17488789237668,2.01793721973094,15.0224215246637,75.7847533632287,55.5555555555556,138.888888888889,222.222222222222,333.333333333333,416.666666666667,833.333333333333,421.296296296296,851.851851851852,666.666666666667,462.962962962963,1018.51851851852,1,0.442621682041852,1,"44"
"26",360050027022,0,0,132,810,9.01234567901234,9.25925925925926,9.50617283950617,7.77777777777778,0.617283950617284,32.2222222222222,67.7777777777778,0,38.2681564,5.3072626,8.1005587,75,25,0,67.4242424242424,32.5757575757576,0,17.7777777777778,115.555555555556,160,248.888888888889,266.666666666667,293.333333333333,186.666666666667,320,280,311.111111111111,831.111111111111,0,0.257570297253392,2.01694915254237,"17"
"27",360050027023,0,0,464,1570,8.02547770700637,7.26114649681529,21.656050955414,7.51592356687898,6.36942675159236,39.5541401273885,60.4458598726115,0,60.1910828,7.1974522,5.6687898,51.2931034482759,48.7068965517241,22.4137931034483,29.9568965517241,15.0862068965517,32.5431034482759,31.0344827586207,44.8275862068965,144.827586206897,165.51724137931,181.034482758621,206.896551724138,253.448275862069,317.241379310345,279.310344827586,310.344827586207,265.51724137931,0,0.28218931170259,1.00847457627119,"56"
"28",360050027024,0,0,424,1225,4.3265306122449,1.95918367346939,29.5510204081633,16.4081632653061,13.5510204081633,28.0816326530612,71.9183673469388,0,53.4693878,11.0204082,18.2857143,39.8584905660377,60.1415094339623,21.2264150943396,4.95283018867925,25.4716981132075,48.3490566037736,11.3895216400911,27.3348519362187,75.1708428246014,127.562642369021,68.3371298405467,109.339407744875,382.687927107062,145.785876993166,246.013667425968,113.895216400911,300.683371298405,0,0.572335731233415,2.01694915254237,"82"
"31",360050028003,0,0,616,919,4.02611534276387,0,7.07290533188248,15.7780195865071,34.6028291621327,85.310119695321,14.689880304679,0,10.4461371,1.8498368,9.14037,5.35714285714286,94.6428571428571,0,16.5584415584416,13.3116883116883,70.1298701298701,137.254901960784,215.686274509804,323.529411764706,352.941176470588,441.176470588235,470.588235294118,892.156862745098,1019.60784313725,529.411764705882,490.196078431373,862.745098039216,0,0.417824701186212,2.01694915254237,"83"
