"","GEOID_1","INT.x","DU","Total_HU","Total","pctle5","pct5_11","pct12_17","pct50_64","pct65over","pctAfAm","pctHis","pctOther","pctFPL100","pctFPL125","pctFPL150","pct_u1950","pct_o1950","pct_u10","pct_10t19","pct_20t49","pct_o50","pct_asthma_q1","pct_asthma_q2","pct_asthma_q3","pct_asthma_q4","pct_asthma_q5","pct_asthma_q6","pct_asthma_q7","pct_asthma_q8","pct_asthma_q11","pct_asthma_q9","pct_asthma_q10","INT","distance","weights","subclass"
"8",360050016001,0,0,1134,3427,6.85730960023344,9.36679311351036,10.6507149110009,22.0601108841552,6.12780857893201,40.0641960898745,58.681062153487,0.525240735337029,25.1531952,18.3250657,11.2634958,5.20282186948854,94.7971781305115,6.61375661375661,0.529100529100529,17.9012345679012,74.9559082892416,8.2815734989648,10.351966873706,5.175983436853,1.0351966873706,8.2815734989648,3.1055900621118,2.0703933747412,2.0703933747412,1.0351966873706,5.175983436853,3.1055900621118,0,0.376648974960159,2.06086956521739,"105"
"10",360050016003,0,0,268,466,7.08154506437768,5.36480686695279,5.15021459227468,22.3175965665236,33.2618025751073,36.6952789699571,54.2918454935622,0,28.6652079,6.345733,7.6586433,3.73134328358209,96.2686567164179,3.73134328358209,0,0,96.2686567164179,3.86100386100386,3.86100386100386,7.72200772200772,7.72200772200772,3.86100386100386,7.72200772200772,0,19.3050193050193,15.4440154440154,3.86100386100386,3.86100386100386,0,0.375898841597101,1.0304347826087,"101"
"19",360050020005,1,234,218,482,7.05394190871369,5.39419087136929,10.7883817427386,13.0705394190871,20.5394190871369,13.6929460580913,86.3070539419087,0,27.1784232,11.2033195,0,0,100,21.5596330275229,0,28.4403669724771,50,12.3456790123457,30.8641975308642,0,18.5185185185185,43.2098765432099,24.6913580246914,12.3456790123457,6.17283950617284,6.17283950617284,12.3456790123457,43.2098765432099,1,0.083232343369544,1,"21"
"20",360050023001,1,1023,1007,2560,7.8125,8.828125,14.4921875,11.40625,15.6640625,38.0078125,60,1.640625,55.1560648,14.223627,10.5887001,24.9255213505462,75.0744786494538,4.1708043694141,2.18470705064548,13.5054617676266,80.1390268123138,31.7460317460317,43.2900432900433,27.4170274170274,20.2020202020202,21.6450216450216,36.0750360750361,18.7590187590188,11.5440115440115,25.974025974026,30.3030303030303,28.8600288600289,1,0.855155436500817,1,"23"
"21",360050023002,1,183,267,547,12.0658135283364,6.03290676416819,22.8519195612431,11.7001828153565,19.7440585009141,50.8226691042048,48.9945155393053,0,27.4725275,11.1721612,49.0842491,50.936329588015,49.063670411985,3.74531835205993,4.11985018726592,0,92.1348314606742,40.6976744186047,29.0697674418605,23.2558139534884,17.4418604651163,11.6279069767442,29.0697674418605,23.2558139534884,23.2558139534884,17.4418604651163,40.6976744186047,40.6976744186047,1,0.921393205422434,1,"26"
"24",360050025002,1,563,446,1038,3.94990366088632,4.72061657032755,12.1387283236994,22.7360308285164,8.47784200385356,36.9942196531792,62.1387283236994,0,45.9537572,1.6377649,6.1657033,35.2017937219731,64.7982062780269,7.17488789237668,2.01793721973094,15.0224215246637,75.7847533632287,27.7777777777778,24.6913580246914,9.25925925925926,9.25925925925926,24.6913580246914,33.9506172839506,12.3456790123457,21.6049382716049,12.3456790123457,24.6913580246914,15.4320987654321,1,0.265460592513467,1,"41"
"27",360050027023,0,0,464,1570,8.02547770700637,7.26114649681529,21.656050955414,7.51592356687898,6.36942675159236,39.5541401273885,60.4458598726115,0,60.1910828,7.1974522,5.6687898,51.2931034482759,48.7068965517241,22.4137931034483,29.9568965517241,15.0862068965517,32.5431034482759,18.348623853211,22.9357798165138,13.7614678899083,32.1100917431193,22.9357798165138,32.1100917431193,36.697247706422,18.348623853211,41.2844036697248,36.697247706422,41.2844036697248,0,0.228802143293292,1.0304347826087,"47"
"28",360050027024,0,0,424,1225,4.3265306122449,1.95918367346939,29.5510204081633,16.4081632653061,13.5510204081633,28.0816326530612,71.9183673469388,0,53.4693878,11.0204082,18.2857143,39.8584905660377,60.1415094339623,21.2264150943396,4.95283018867925,25.4716981132075,48.3490566037736,8.17438692098093,16.3487738419619,0,10.8991825613079,19.0735694822888,8.17438692098093,16.3487738419619,10.8991825613079,16.3487738419619,13.6239782016349,21.7983651226158,0,0.542156824656619,2.06086956521739,"15"
"31",360050028003,0,0,616,919,4.02611534276387,0,7.07290533188248,15.7780195865071,34.6028291621327,85.310119695321,14.689880304679,0,10.4461371,1.8498368,9.14037,5.35714285714286,94.6428571428571,0,16.5584415584416,13.3116883116883,70.1298701298701,4.31965442764579,6.47948164146868,0,0,15.1187904967603,4.31965442764579,6.47948164146868,0,0,0,2.15982721382289,0,0.339838947784875,1.0304347826087,"11"
"35",360050033002,0,0,431,1446,7.60719225449516,15.9751037344398,22.1991701244813,7.46887966804979,3.38865836791148,31.1894882434302,58.3679114799447,11.8257261410788,60.8848315,11.0955056,5.4775281,58.9327146171694,41.0672853828306,21.8097447795824,6.26450116009281,30.6264501160093,41.2993039443155,89.171974522293,82.8025477707006,70.0636942675159,31.8471337579618,89.171974522293,44.5859872611465,95.5414012738854,25.4777070063694,63.6942675159236,44.5859872611465,19.1082802547771,0,0.404834773572144,2.06086956521739,"9"
