# Constructed from biom file																																																																																																																																																																																																													
#OTU ID	G40215	G40216	G40217	G40218	G40219	G40222	G40226	G40227	G40229	G40230	G40232	G40233	G40234	G40236	G40237	G40239	G40240	G40241	G40242	G40243	G40245	G40246	G40247	G40248	G40249	G40252	G40253	G40254	G40255	G40256	G40257	G40258	G40259	G40260	G40261	G40263	G40265	G40266	G40267	G40268	G40272	G40273	G40275	G40276	G40277	G40278	G40280	G40282	G40283	G40285	G40289	G40292	G40293	G40294	G40295	G40297	G40299	G40300	G40301	G40304	G40307	G40309	G40311	G40312	G40314	G40317	G40318	G40319	G40322	G40323	G40324	G40325	G40326	G40327	G40328	G40329	G40331	G40334	G40335	G40336	G40338	G40341	G40342	G40343	G40346	G40348	G40568	G40569	G40570	G40571	G40572	G40573	G40574	G40575	G40576	G40577	G40592	G40594	G40596	G40600	G40604	G40606	G40608	G40609	G40610	G40611	G40612	G40614	G40615	G40616	G40617	G40618	G40621	G40623	G40624	G40626	G40627	G40629	G40630	G40631	G40636	G40638	G40639	G40640	G40641	G40642	G40643	G40644	G40645	G40647	G40648	G40649	G40650	G40651	G40652	G40653	G40655	G40656	G40657	G40662	G40664	G40665	G40666	G40668	G40669	G40671	G40672	G40673	G40675	G40676	G40677	G40678	G40680	G40682	G40683	G40684	G40685	G40687	G40688	G40690	G40691	G40692	G40693	G40695	G40696	G40697	G40699	G40700	G40701	G40702	G40703	G40704	G40705	G40707	G40708	G40709	G40711	G40712	G40713	G40714	G40716	G40717	G40718	G40720	G40721	G40722	G40723	G40725	G40726	G40727	G40728	G40729	G40731	G40732	G40733	G40734	G40735	G40738	G40742	G40744	G40745	G40746	G40747	G40748	G40749
eae0738ba858df2d22433de0913bc58c	0	0	7600	5675	16024	19794	6802	20908	1572	7362	4536	1247	202	813	167	181	0	333	0	10355	0	0	1013	0	26432	0	1600	0	6527	589	144	2120	4214	0	0	61	0	8616	3117	0	0	0	0	6612	0	0	0	1023	972	0	233	29	0	195	120	0	0	0	16369	0	571	0	0	0	13	0	9	0	0	145	1164	446	0	9	0	16206	0	179	1013	329	8	11	1283	13639	625	0	0	1988	1083	33619	33453	32064	710	5102	0	0	5603	0	184	132	3409	17988	5454	1016	808	8169	0	170	0	0	12048	1429	0	120	31576	0	488	15125	45	64	0	2032	1311	0	183	0	0	0	0	40	1146	12043	1478	146	0	229	3653	3843	1681	9957	0	0	1348	0	2631	0	1790	14098	3647	74	5818	0	2927	21	334	0	35	4401	1885	0	26	0	1427	22174	0	0	0	569	705	97	3439	25	27081	2984	165	18	2885	81	565	1017	26127	25537	380	48213	7038	1468	0	10271	19130	7116	111	4919	25250	7225	1764	15113	59	0	0	220	900	412	0	3940	20975
b167ad9fdf6c2158e6e90d7756049242	0	0	3579	12842	11796	12591	2082	38	6381	1362	8715	1575	2414	2337	512	1519	0	945	0	1321	5681	3914	938	834	7989	2053	1935	1407	0	5988	0	1397	1762	7077	249	1112	0	498	0	0	0	0	11	41	410	0	6523	10676	10309	0	273	0	0	18	0	43	4397	0	0	0	1809	0	0	916	0	3	160	7	8169	267	0	0	241	0	0	599	1108	398	3097	4713	0	0	3434	727	0	0	11551	14728	11102	83	0	0	1722	2786	8504	10650	1337	6329	0	7141	5814	9043	0	5873	0	50085	51	1624	0	0	697	5554	467	9039	4485	250	284	4248	107	0	16	2899	4715	0	0	0	0	8719	2195	55	0	13628	22378	80	163	0	14622	16572	6807	593	0	1135	29	0	0	0	118	5074	3432	3963	21653	0	4421	0	593	113	17	114	8874	20346	0	29	4330	3179	0	8141	16909	1841	73	445	7286	884	8189	6657	39	0	0	0	11206	17207	2385	7685	878	30693	2278	15457	0	5400	14308	4750	16213	14267	7407	9254	0	5785	19927	33	0	0	255	24	0	16815	47
17f016e3298748a0eb03b67eb9267a19	1731	0	5597	1180	40	244	0	2538	43	36	1025	74	150	0	5	0	77	36	178	0	1442	14	1202	11065	575	281	2568	367	9299	9	285	39	3025	29	20	229	0	9271	0	0	0	6460	12881	691	39	0	302	977	757	0	21	15236	24038	38	626	0	18	0	29	0	91	3165	7082	7426	3403	0	125	9837	633	413	303	26	25	582	0	13	419	1423	846	14	3	0	0	1753	5657	766	107	607	36	4705	5170	0	18	29	116	106	1702	0	2953	140	0	0	161	0	7254	63	23927	686	1314	13723	4759	606	0	1162	6874	0	105	2978	921	914	7033	116	311	31	1671	17073	837	264	403	238	185	132	3257	4788	38	468	35	270	1801	0	0	56	0	527	25	0	1651	122	32	2196	0	0	57	11162	61	11344	0	9570	80	1939	970	3520	15	1863	13614	472	0	96	4064	37	2445	0	10675	813	360	862	0	827	152	534	269	0	2734	142	2806	842	0	0	250	7293	2941	0	0	2154	1402	3881	142	0	4130	5617	351	5488	11327	746	9591
8622987ddfa6f1a7d9909f49018cb1f1	4127	131	0	4922	1271	44	475	3004	2494	2766	1903	240	2888	1818	6220	1671	2957	2542	3832	658	0	0	0	24	2961	638	862	1962	2027	1713	679	871	1344	655	2387	7723	364	4671	22	0	0	0	0	443	6762	0	2962	1621	1340	0	1081	150	0	41	6834	10679	1369	0	0	0	7444	2059	0	5848	0	0	41	0	880	1149	4537	1007	231	0	0	962	6291	2246	731	13091	0	0	1859	29	0	889	2523	3170	763	0	103	0	0	790	5050	4296	296	152	1418	1646	656	624	0	3589	341	6062	0	677	0	0	2412	4810	33	411	0	2929	1170	1733	411	0	0	9646	6247	0	0	0	7853	1821	6756	0	1328	5478	4544	2878	14303	6298	1646	4568	4233	643	20	2246	0	0	828	768	972	519	777	322	4981	0	232	0	1611	875	0	5037	1593	2821	9797	0	1654	2196	0	3531	3326	568	2664	3537	3799	365	598	1735	0	3997	10157	0	3039	5892	9467	1085	2309	3442	1555	712	0	1933	6986	4764	0	1896	0	0	29	1493	4240	5168	0	0	1628	6021	0	4133	0
5c4c361695cb59f119cdf583d315aee9	0	642	6159	4895	5657	237	0	6983	1035	27	3929	165	44	2092	114	65	0	286	0	184	16	1018	0	8142	0	174	0	4847	0	263	2005	125	564	254	0	105	4726	232	4514	0	0	0	0	921	0	0	1170	3988	3831	0	59	0	0	0	0	0	820	0	0	0	177	0	0	0	0	0	138	0	0	65	9739	5321	371	0	0	8521	110	343	10704	140	0	13	0	0	0	0	0	4290	692	0	27392	0	549	48	5170	6862	14376	731	5896	9348	0	1258	13102	714	0	4681	0	164	0	0	2074	253	13168	273	6444	25	113	8996	122	23	0	1321	0	0	0	0	0	754	255	0	515	440	9863	99	5040	134	10544	0	2696	158	0	270	0	0	175	0	433	172	399	0	4954	0	79	0	0	0	0	0	414	86	609	0	401	4402	0	655	4159	504	15331	0	1304	0	5900	3614	586	0	0	0	0	2333	1965	684	1357	21783	775	2499	0	0	2699	12198	76	532	730	41	1288	5363	443	0	13565	0	575	945	0	1980	1799
05131eda47202ff9fac2775b1cd653e8	4137	0	0	0	3295	3351	6228	0	2174	0	0	16	346	0	0	0	48	82	0	0	0	689	12	0	22	3480	335	0	0	0	0	0	0	93	7	0	0	135	0	0	0	0	365	0	633	0	12126	0	0	0	0	0	0	264	52	110	2627	0	0	0	1686	0	0	1289	0	0	13	0	4928	0	6441	0	20	210	0	0	0	14	0	0	0	0	0	0	0	539	0	7374	0	0	0	1313	25	0	31	21	41	0	37	233	0	0	0	0	0	30728	11	0	0	0	0	0	47	6706	0	2352	64	291	0	0	0	0	0	0	0	0	170	0	0	402	0	0	39656	136	0	0	9504	10414	0	0	182	1156	0	0	78	0	737	134	2156	92	72	0	3029	14	0	16	0	22726	16391	20377	100	0	2988	5234	0	0	36	22645	0	0	6939	0	0	16579	6490	0	0	0	10073	9969	16283	45	28	9158	0	0	0	0	28431	0	47	418	161	912	0	0	1626	0	0	0	0	30	0	9815	1293
df5f8e6f57731f52381392871de418d1	13082	639	7309	0	387	10720	0	0	152	5556	1332	174	0	425	12	0	0	101	0	0	0	9241	0	248	0	2851	185	1517	0	1088	4704	0	0	6251	0	0	16250	305	11769	0	0	0	0	0	0	0	0	1234	1206	0	0	0	0	0	0	0	640	0	0	0	841	15654	0	0	0	0	0	0	51	174	516	1008	325	0	0	405	257	0	0	0	0	9	0	0	0	10968	0	0	2019	0	0	0	159	0	12646	11910	15256	0	3236	45240	1934	10264	0	0	0	0	47	31	0	0	0	0	228	0	14493	0	0	3995	0	0	0	259	477	0	0	25	0	119	253	0	464	0	0	0	0	45	0	0	0	0	0	0	0	0	3705	0	828	3790	0	0	0	0	0	0	0	34	0	3314	445	0	0	0	236	0	0	3035	0	0	12611	64	310	0	160	3682	0	6189	0	0	0	0	231	0	0	926	1454	665	27743	0	66	0	0	231	0	32	5602	0	0	0	0	0	0	288	3950	0	11929
2e60a2b63ef994fe9a9f8de5efe538c2	952	0	65	387	140	0	73	166	469	0	49	0	5120	3003	9754	1153	5562	1247	3356	84	0	0	85	0	500	2500	59	64	924	1061	8	12	1299	86	777	1581	151	477	0	0	0	238	593	595	200	657	46	778	464	14686	40	31	1313	271	321	1411	5783	2971	1073	204	226	652	390	12648	0	493	8000	111	938	1650	154	0	0	2501	2939	634	231	102	1941	34484	48	0	250	15	416	54	607	3956	702	925	1021	75	0	0	0	0	0	164	41	70	0	27	0	3170	260	1088	73	347	2662	2359	182	1626	0	48	0	131	1034	2976	1220	168	780	3359	0	0	1570	6567	480	2576	357	2486	262	31	7086	14092	788	3489	427	5449	166	0	40	112	4134	0	0	2247	783	143	28	0	1665	253	0	2714	0	59	122	429	103	9278	1589	2011	1339	169	24	3463	2263	9438	115	737	202	520	32	861	1716	428	1010	3031	7155	6399	207	776	96	449	1146	3237	57	372	731	302	7008	364	0	19	45	3133	7645	1156	501	781	566	3366	0	1131	0
e0b12a002f66a631d7db3322d42f4d6a	0	0	0	5084	2005	1860	994	2676	740	0	390	319	4439	15768	0	3387	0	2475	0	402	478	525	19	0	0	0	421	1590	0	5298	0	455	0	1922	1240	5757	0	0	0	0	0	663	0	7452	0	0	0	3190	2039	0	108	0	0	6790	0	4590	3801	0	0	0	0	0	269	0	0	0	406	0	177	0	0	0	83	0	0	1527	0	0	92	2604	0	0	1255	447	0	0	2204	6040	2391	15442	0	0	0	0	2541	2120	0	1414	2164	5416	1991	753	0	2265	0	6310	0	2451	0	0	2064	13006	0	90	0	6426	232	14153	0	0	0	0	0	0	0	0	0	5806	28	1646	0	4395	0	775	0	0	2814	0	2874	465	0	2143	0	0	0	28	4441	612	793	0	9386	0	486	0	5949	0	0	0	3254	0	0	0	2633	6038	0	602	0	4785	0	101	0	239	1864	2062	0	1392	0	0	0	8875	4695	982	0	7354	0	0	0	804	8712	8293	0	4703	4889	1612	1472	2855	0	0	51	0	5795	0	8	2523	0
5b9a6dbfc952e746732fc2d8d850487d	1573	0	217	272	3637	278	0	1465	21	232	38	115	129	0	0	10539	0	0	24	13	2761	15	20	0	244	673	0	23	0	0	13	0	570	0	19	0	176	890	4128	0	0	934	926	155	49	0	0	2597	1965	0	0	4699	0	10	0	0	548	0	3312	18	38	3082	117	0	3	0	0	8	269	0	226	0	0	9917	0	386	0	0	4315	723	7	15279	5	35	0	52	4016	361	7239	73	4286	836	12	0	14	0	62	3976	3624	4218	0	5937	3592	4662	81	5251	2165	0	0	200	42	24	0	0	1814	9	0	26837	37	11	0	83	57	0	7	1933	19	164	11	0	0	0	381	12	0	0	268	1666	75	3	0	117	0	0	0	0	22	59	26	7720	1851	244	0	7	0	207	3	87	0	64	0	50	430	300	1420	1121	5589	1885	604	0	63	0	66	8750	91	134	119	39129	724	438	16	5469	0	13016	0	2164	0	30	1140	304	8548	79	8506	44	8896	1632	0	0	302	0	0	15	30	251	0
